EXT,Anx
0,3
-11,3
16,2
6,2
7,2
-10,3
-13,3
7,2
7,2
1,2
-3,3
1,2
3,2
9,2
3,2
10,2
12,1
-9,3
15,1
16,2
-12,3
14,1
0,3
-9,3
-3,3
8,2
-14,3
-2,3
2,2
-1,3
-16,4
-10,3
-12,3
7,2
-15,4
-4,3
6,2
-7,3
-8,3
-4,3
12,2
13,2
9,2
5,2
-2,3
-3,3
-10,3
2,2
4,2
-9,3
-12,3
-7,3
14,2
-5,3
-11,3
-3,3
9,2
8,2
9,2
1,2
-3,3
-8,3
0,3
6,2
-4,3
5,2
-6,3
2,2
3,2
3,2
7,2
-16,4
0,3
2,2
-3,3
14,2
-1,3
-20,4
1,2
-8,3
-12,3
-12,2
-15,3
3,2
5,2
-20,3
15,2
15,2
6,2
-5,3
-18,4
0,3
-10,3
3,2
-9,3
-3,3
-3,3
1,2
-4,3
3,2
-3,3
4,0
0,3
5,0
-11,3
-1,3
12,2
15,2
11,2
-17,4
2,2
-4,3
5,2
2,2
-12,3
15,2
-8,3
-6,3
-16,4
-7,3
-9,3
-5,3
2,2
-6,3
2,2
-12,3
-3,3
-2,3
19,1
15,2
-12,3
8,2
1,2
15,2
-4,3
5,2
-9,3
6,2
5,2
8,2
4,2
-7,3
13,2
-14,3
-5,3
6,2
-19,4
-10,3
-6,3
-6,3
-8,3
8,2
-7,3
-5,3
1,2
-18,4
13,2
-9,3
4,2
0,3
-14,3
1,2
1,2
-13,3
12,2
15,2
19,2
0,3
-9,3
-3,0
5,2
-16,4
-5,3
2,2
4,2
6,2
-18,4
7,2
0,3
10,2
19,2
16,2
5,2
-10,3
-8,3
1,2
-6,3
-10,3
16,2
18,2
7,2
-14,3
-2,3
17,2
10,2
-15,4
3,2
13,2
19,2
-2,3
12,2
12,2
7,2
-8,3
0,3
5,2
-6,3
2,2
8,2
-7,3
13,2
-9,3
2,2
7,2
3,2
10,2
12,2
7,2
14,2
0,3
1,2
9,2
-5,3
-7,3
-13,3
-15,4
-2,3
8,2
-5,3
3,2
-5,3
10,2
-15,4
3,2
6,2
13,2
-9,3
-1,3
0,3
-4,3
4,2
-3,3
-8,2
-7,3
5,2
0,2
0,2
-10,3
8,2
15,2
-10,3
10,2
8,2
8,2
-14,3
-9,3
-7,3
0,3
6,2
-10,3
-6,3
0,3
0,3
12,2
-13,3
9,2
